,Date,Total
676,2019-11-08,550160.8200000003
677,2019-11-09,533712.6800000002
678,2019-11-10,916895.1900000004
679,2019-11-11,894030.72
680,2019-11-12,1016196.0700000002
681,2019-11-13,917268.1600000004
682,2019-11-14,785790.3599999995
683,2019-11-15,527134.4100000001
684,2019-11-16,486384.9900000001
685,2019-11-17,686402.1600000001
686,2019-11-18,783092.9199999997
687,2019-11-19,782883.0400000004
688,2019-11-20,962222.82
689,2019-11-21,789898.3800000006
690,2019-11-22,774215.2799999997
691,2019-11-23,471719.09
692,2019-11-24,746230.1399999999
693,2019-11-25,810313.0399999997
694,2019-11-26,1052177.7400000002
695,2019-11-27,852523.7999999998
696,2019-11-28,841933.04
697,2019-11-29,683658.74
698,2019-11-30,609869.33
699,2019-12-01,1173370.42
700,2019-12-02,1001000.2200000003
701,2019-12-03,898040.6399999995
702,2019-12-04,797379.9699999996
703,2019-12-05,851447.1999999997
704,2019-12-06,788209.7200000002
705,2019-12-07,635216.8800000002
706,2019-12-08,587510.3
707,2019-12-09,1185818.56
708,2019-12-10,912300.2500000005
709,2019-12-11,982034.2300000001
710,2019-12-12,861063.91
711,2019-12-13,815971.77
712,2019-12-14,620862.2800000003
713,2019-12-15,880741.0200000001
714,2019-12-16,887252.7799999996
715,2019-12-17,935768.6500000003
716,2019-12-18,1019886.5400000002
717,2019-12-19,1052164.5499999996
718,2019-12-20,636723.5
719,2019-12-21,894431.2400000003
720,2019-12-22,570913.1300000002
721,2019-12-23,726109.03
722,2019-12-24,714988.2799999998
723,2019-12-25,652146.3099999998
724,2019-12-26,752983.82
725,2019-12-27,706916.0100000001
726,2019-12-28,787527.7300000002
727,2019-12-29,428261.99000000005
728,2019-12-30,254375.48
729,2019-12-31,12612.03
